rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
1433,entretien,nm,masculine,"interview, discussion, maintenance",je devais réaliser un entretien pour un mensuel,I had to conduct an interview for a monthly magazine,ɑ͂tʀətjɛ͂
1434,encourager,v,,to encourage,"allez, encouragez notre petit gars",go encourage our little guy,ɑ͂kuʀaʒe
1435,kilomètre,nm,masculine,kilometer,j’ai un jardin à vingt-cinq kilomètres de Paris,I have a garden 25 kilometers from Paris,kilɔmɛtʀ
1436,dérouler,v,,"to unwind, enroll",la cérémonie aurait dû se dérouler la veille,the ceremony should have taken place the night before,deʀule
1437,identité,nf,feminine,identity,donnez-moi d’abord votre carte d’identité,first give me your identification card,idɑ͂tite
1438,amendement,nm,masculine,amendment,la Commission a accepté une partie des amendements,the commission accepted some of the amendments,amɑ͂dmɑ͂
1439,signaler,v,,"to indicate, signal",il a signalé que la mission avait joué un rôle important,he pointed out that the mission played an important role,siɲale
1440,division,nf,feminine,division,l’Irak disposait de trois divisions près de la frontière,Iraq had three divisions close to the border,divizjɔ͂
1441,contexte,nm,masculine,context,comment tenez-vous compte du contexte social en thérapie?,how do you account for the social context in therapy?,kɔ͂tɛkst
1442,coupable,nadj(f),masc / fem,guilty,"aujourd’hui, tout le monde est coupable","these days, everybody is guilty",kupabl
1443,favorable,adj(f),,favorable,l’évolution a été particulièrement favorable,the evolution was particularly favorable,favɔʀabl
1444,obligation,nf,feminine,"obligation, bond",nous avons une obligation morale de redresser les torts du passé,we have a moral obligation to right the wrongs of the past,ɔbligasjɔ͂
1445,août,nm,masculine,August,je suis né en août,I was born in August,u(t)
1446,attribuer,v,,"to award, grant, attribute",son mari attribuait cette apathie à sa naissance,her husband attributed this apathy to her birth,atʀibɥe
1447,courir,v,,to run,je courus le long des docks,I ran along the docks,kuʀiʀ
1448,examen,nm,masculine,exam,on commence par faire un examen clinique,we’ll start by doing a clinical exam,ɛgzamɛ͂
1449,personnage,nm,masculine,"character, individual",les personnages de mes romans me jouent des tours,the characters in my novels play tricks on me,pɛʀsɔnaʒ
1450,dénoncer,v,,to denounce,il s’attacha à dénoncer les abus et la corruption,he took up the cause of denouncing abuse and corruption,denɔ͂se
1451,inconnu,nadj,masc / fem,unknown,je me réveille dans des endroits inconnus,I wake up in unknown places,ɛ͂kɔny
1452,échanger,v,,to exchange,les rebelles échangeront leurs prisonniers,the rebels will exchange their prisoners,eʃɑ͂ʒe
1453,montant,nadj,masculine,"upright, upwards, sum, total",on ignore le montant de ce contrat,we don’t know the total amount of this contract,mɔ͂tɑ͂
1454,éliminer,v,,to eliminate,nous sommes aussi parvenus à éliminer le déficit,we have also achieved elimination of the deficit,elimine
1455,ouverture,nf,feminine,opening,chaque ouverture de magasin crée une vingtaine d’emplois,every store we open creates about twenty jobs,uvɛʀtyʀ
1456,tableau,nm,masculine,"frame, picture, painting, panel",allez vérifier le tableau d’alerte,go check the alarm panel,tablo
1457,exclure,v,,to exclude,le projet de loi exclut ce type de mode de vie,the bill excludes this type of lifestyle,ɛksklyʀ
1458,meurtre,nm,masculine,murder,vous êtes accusé de meurtre!,you are accused of murder!,mœʀtʀ
1459,exemplaire,nadj(f),masculine,exemplary; copy,j’en ai déjà vendu 100.000 exemplaires,"I already sold 100,000 copies of it",ɛgzɑ͂plɛʀ
1460,propriété,nf,feminine,property,vous êtes sur ma propriété,you’re on my property,pʀɔpʀijete
1461,final,nadj,masculine,final,je me souviens de la séance finale,I remember the final showing,"final, o"
1462,site,nm,masculine,site,combien de sites Internet avez-vous?,how many websites do you have?,sit
1463,séance,nf,feminine,"session, meeting",elle se souvient d’une séance particulièrement pénible,she remembers a particularly painful session,seɑ͂s
1464,durée,nf,feminine,"length, duration",il faudrait alors augmenter la durée du travail,then we would need to lengthen the work timeframe,dyʀe
1465,élire,v,,to elect,les chefs sont élus pour représenter leur peuple,the chiefs are elected to represent their people,eliʀ
1466,baisse,nf,feminine,"fall, drop",il devrait y avoir une baisse d’autres impôts,there should be a drop in the other taxes,bɛs
1467,inquiétude,nf,feminine,"worry, anxiety",j’entretenais de sérieuses inquiétudes à ce sujet,I harbored serious anxiety on the project,ɛ͂kjetyd
1468,israélien,nadj,masculine,Israeli,le camp de la paix israélien se divise en deux,the Israeli peace coalition has split in two,"isʀaeljɛ͂, jɛn"
1469,représentation,nf,feminine,representation,votre souci est la représentation des femmes,your concern is for the representation of women,ʀ(ə)pʀezɑ͂tasjɔ͂
1470,pareil,nadj,,"similar, likewise; peer, equal",c’est toujours pareil,it’s always the same,paʀɛj
1471,mandat,nm,masculine,"term, mandate",sa présence à un second mandat est inévitable,his presence in a second term is inevitable,mɑ͂da
1472,quinze,"det,nmi",masculine,fifteen,David s’arrêta devant une tour de quinze étages,David stopped in front of a fifteen- story tower,kɛ͂z
1473,vide,nadj(f),masculine,empty,"je regrette, le frigo est vide","I’m sorry, the fridge is empty",vid
1474,statut,nm,masculine,status,le jeune reste sous statut scolaire,the young man remains in student status,staty
1475,essai,nm,masculine,"attempt, try, test",ça demanderait un essai et je ne suis pas une spécialiste,that would require an essay and I’m not a specialist,esɛ
1476,sourire,"nm,v",masculine,"smile, to smile","alors, pourquoi tu souris?",so why are you smiling?,suʀiʀ
1477,italien,nadj,masculine,Italian,c’est un génie particulier aux italiens,it’s a type of genius that only Italians have,italjɛ͂
1478,suggérer,v,,to suggest,je voudrais suggérer de changer les horaires de travail,I would like to suggest a change in the working hours,sygʒeʀe
1479,interrompre,v,,to interrupt,je n’aime pas qu’on m’interrompe,I don’t like being interrupted,ɛ͂teʀɔ͂pʀ
1480,au-dessus,adv,masculine,above,les avocats ne sont pas au-dessus des lois,lawyers are not above the law,od(ə)sy
1481,agence,nf,feminine,agency,il a décidé de créer une agence,he decided to create an agency,aʒɑ͂s
1482,usine,nf,feminine,factory,je rouvre une usine aux États-Unis,I’m reopening a factory in the U.S.,yzin
1483,unir,v,,to unite,le mariage devrait unir un homme et une femme,marriage should unite one man and one woman,yniʀ
1484,rang,nm,masculine,"rank, row",nous sommes assis au premier rang,we sat on the first row,ʀɑ͂
1485,employé,nm,masculine,employee,les patrons veulent des employés qualifiés,bosses want qualified employees,ɑ͂plwaje
1486,sommet,nm,masculine,summit,le sommet extraordinaire de Bruxelles n’était pas une fête,the special summit at Brussels was no picnic,sɔmɛ
1487,franchir,v,,to get over,les Huns ont franchi notre frontière nord,the Huns broke through our northern border,fʀɑ͂ʃiʀ
1488,évident,adj,,obvious,ce n’était pas évident pour nous au début,it wasn’t obvious to us at first,"evidɑ͂, ɑ͂t"
1489,comportement,nm,masculine,behavior,leur comportement agressif et violent ne change pas,their aggressive and violent behavior is not changing,kɔ͂pɔʀtəmɑ͂
1490,fête,nf,feminine,"holiday, celebration",c’est une fête privée,it’s a private party,fɛt
1491,sol,nm,masculine,"floor, ground",nous dormions sur le sol en béton,we were sleeping on the cement-covered ground,sɔl
1492,écarter,v,,"to separate, move apart, keep away",les journalistes ont été écartés de l’intérieur du bâtiment,the reporters were kept away from the building’s interior,ekaʀte
1493,vague,"nadj(f),nf",masc / fem,vague; wave,ces vagues sont tellement puissantes!,these waves are so powerful!,vag
1494,réduction,nf,feminine,reduction,il parle aussi des réductions d’impôt,he’s also talking about tax reductions,ʀedyksjɔ͂
1495,culturel,adj,,cultural,"la vie culturelle est appauvrie, terne et stagnante","cultural life is impoverished, dull, and stagnant",kyltyʀɛl
1496,coopération,nf,feminine,cooperation,nous ne bénéficions pas toujours d’une coopération sérieuse de leur part,we don’t always enjoy serious cooperation on their behalf,kɔɔpeʀasjɔ͂
1497,vertu,nf,feminine,virtue,"la vertu et le vice, tout se confond","virtue and vice, everything’s getting mixed up",vɛʀty
1498,d’autant,,,since,il lui est d’autant plus facile d’en acquérir d’autres,it’s so much easier for him to buy other ones,dotɑ͂
1499,leader,"nm,nf",masculine,leader,il est très difficile d’être un leader autochtone,it’s difficult to be a native leader,lidœʀ
1500,taille,nf,feminine,"size, height","je l’ai interrogée sur sa taille, sur son âge","I asked her about her height, her age",tɑj
1501,contenu,nadj,masculine,contents,il faut réviser la réglementation quant au contenu francophone,we must revise the regulation of French-speaking content,kɔ͂t(ə)ny
1502,distance,nf,feminine,distance,la distance entre les villes est énorme,the distance between cities is enormous,distɑ͂s
1503,automne,nm,masculine,"fall, autumn",on dirait un après-midi d’automne,it felt like an autumn afternoon,otɔn
1504,arrière,"adji,adv,nm",masculine,"back, rear",mets tes cheveux en arrière,put your hair back,aʀjɛʀ
1505,vision,nf,feminine,"vision, view",nous avons sur ce sujet une vision commune,we have a common view on this subject,vizjɔ͂
1506,investir,v,,to invest,il veut y investir encore plus d’argent,he wants to invest even more money in it,ɛ͂vɛstiʀ
1507,diminuer,v,,"to diminish, decrease",les investissements en provenance de l’extérieur diminuent,investments from abroad are decreasing,diminɥe
1508,réfugier,v,,to take refuge,je m’étais réfugié dans une espèce d’esprit farceur,I sought refuge in a farcical mindset,ʀefyʒje
1509,entourer,v,,to surround,il courut à lui et l’entoura de ses bras,he ran up to him and held him in his arms,ɑ͂tuʀe
1510,juif,nadj,masculine,"Jew, Jewish",la société se retourne contre les juifs,society has turned against the Jews,"ʒɥif, -iv"
1511,considérable,adj(f),,"considerable, significant",nous avons réalisé des progrès considérables,we achieved considerable progess,kɔ͂sideʀabl
1512,conduite,nf,feminine,"behavior, driving",certaines de mes conduites affectaient directement ma mère,some of my behavior directly affected my mother,kɔ͂dɥit
1513,convention,nf,feminine,"agreement, convention",la convention relative aux droits de l’enfant,the convention on children’s rights,kɔ͂vɑ͂sjɔ͂
1514,communiquer,v,,to communicate,mes fonctionnaires ont communiqué avec le ministère des finances,my public servants communicated with the finance minister,kɔmynike
1515,prolonger,v,,"to prolong, extend",quels sont les indicateurs d’une sécheresse prolongée?,what are the indications of a prolonged drought?,pʀɔlɔ͂ʒe
1516,verser,v,,"to pour, deposit, shed",cette conversation sera versée au dossier,this conversation will be deposited into the record,vɛʀse
1517,évidence,nf,feminine,evidence,je souhaite que cette évidence pénètre les esprits,I hope this evidence will provoke minds,evidɑ͂s
1518,essentiellement,adv,,essentially,votre métier est essentiellement une fonction de médiation,your trade is essentially a function of mediation,esɑ͂sjɛlmɑ͂
1519,démontrer,v,,to demonstrate,il ne démontre aucun signe de compassion envers ces travailleurs,he shows no sign of compassion towards these workers,demɔ͂tʀe
1520,négatif,nadj,masculine,negative,ils n’ont pas totalement une image négative,they don’t have a completely negative image,negatif
1521,approche,nf,feminine,approach,c’est là une approche équilibrée,that’s a balanced approach,apʀɔʃ
1522,délai,nm,masculine,delay,je vous demande donc de prolonger le délai,I therefore ask you to extend the timeframe,delɛ
1523,accroître,v,,to increase,"évidemment, cela accroît le climat de tension","apparently, this increased the tension",akʀwɑtʀ
1524,bruit,nm,masculine,noise,j’entends ce bruit horrible,I hear this horrible noise,bʀɥi
1525,humanité,nf,feminine,humanity,il ne faut pas renier notre humanité,we must not deny our humanity,ymanite
1526,radio,"adji,nm,nf",feminine,radio,j’éteins mon émetteur radio,I turn off my radio,ʀadjo
1527,moi-même,pro,,myself,j’aimerais redevenir moi-même,I would like to become myself again,mwamɛm
1528,syndicat,nm,masculine,union,ça n’appartient pas au syndicat,that’s not up to the union,sɛ͂dika
1529,prudent,adj,,"prudent, careful, cautious",nous avons été très prudents dans nos demandes,we were very prudent in our requests,"pʀydɑ͂, ɑ͂t"
1530,soirée,nf,feminine,evening,je rentre d’une soirée chez des amis,I’m going home from an evening at my friends’ place,swaʀe
1531,vol,nm,masculine,"flight, theft",il a pu prendre un autre vol,he was able to take another flight,vɔl
1532,marcher,v,masculine,to walk,elle se lève et elle marche comme ça,she gets up and walks like this,maʀʃe
1533,tiers,nadj(pl),masculine,third,elle est musulmane du tiers monde,she is a third-world Moslem,tjɛʀ
